City,Month,Year,Decibel_Level,Traffic_Density,Green_Space_Area,Air_Quality_Index,Happiness_Score,Cost_of_Living_Index,Healthcare_Index
Dublin,April,2015,53,Low,52,45,8.22,109,63
Dublin,May,2015,55,Very High,65,135,8.92,113,61
Dublin,June,2015,69,High,32,75,6.85,73,77
Dublin,July,2015,62,Medium,29,34,8.96,128,75
Dublin,August,2015,63,Medium,80,91,8.17,85,84
Dublin,September,2015,53,Medium,77,61,10.0,119,61
Dublin,October,2015,69,High,55,91,8.44,112,82
Dublin,November,2015,81,Medium,59,64,7.69,90,98
Dublin,December,2015,59,Low,45,37,10.0,110,93
Dublin,January,2016,67,High,39,50,7.35,80,77
Dublin,February,2016,79,High,17,127,7.26,78,96
Dublin,March,2016,69,Medium,32,52,7.38,90,82
Dublin,April,2016,82,Low,55,102,7.89,122,72
Dublin,May,2016,76,Medium,32,92,5.77,57,74
Dublin,June,2016,83,Low,77,91,7.27,128,72
Dublin,July,2016,53,Medium,32,147,7.66,91,63
Dublin,August,2016,46,Low,28,129,5.99,117,83
Dublin,September,2016,49,Medium,60,105,7.63,88,80
Dublin,October,2016,53,Very High,65,131,8.81,112,80
Dublin,November,2016,56,High,81,118,10.0,128,82
Dublin,December,2016,59,High,32,78,7.37,87,68
Dublin,January,2017,56,High,83,80,10.0,122,62
Dublin,February,2017,56,High,38,111,7.82,113,69
Dublin,March,2017,66,High,40,74,9.59,71,100
Dublin,April,2017,50,High,52,87,7.37,76,75
Dublin,May,2017,49,Medium,23,122,5.51,99,88
Dublin,June,2017,71,Very High,62,93,9.64,94,94
Dublin,July,2017,69,Low,71,130,9.26,78,70
Dublin,August,2017,73,Low,14,67,5.59,83,66
Dublin,September,2017,49,Medium,58,50,10.0,120,65
Dublin,October,2017,66,Medium,71,120,7.05,71,98
Dublin,November,2017,72,Low,22,72,6.4,74,86
Dublin,December,2017,80,High,79,63,9.98,88,75
Dublin,January,2018,51,Low,83,100,10.0,69,63
Dublin,February,2018,68,Low,21,67,8.43,130,98
Dublin,March,2018,75,Low,13,56,6.16,87,65
Dublin,April,2018,75,High,49,130,6.8,112,76
Dublin,May,2018,50,High,59,53,9.41,98,83
Dublin,June,2018,56,Medium,43,86,8.22,78,77
Dublin,July,2018,81,Low,22,40,8.15,119,86
Dublin,August,2018,82,Low,17,137,5.14,116,86
Dublin,September,2018,79,High,70,103,9.51,110,79
Dublin,October,2018,50,Medium,14,94,7.39,116,96
Dublin,November,2018,84,Low,67,52,10.0,71,73
Dublin,December,2018,57,Low,64,40,10.0,105,72
Dublin,January,2019,85,Low,43,70,9.0,58,65
Dublin,February,2019,69,Medium,80,71,10.0,116,89
Dublin,March,2019,45,High,85,96,10.0,64,86
Dublin,April,2019,54,Low,85,104,10.0,62,66
Dublin,May,2019,81,High,46,141,6.7,94,86
Dublin,June,2019,61,Medium,72,103,9.32,54,71
Dublin,July,2019,62,Medium,61,34,9.59,92,75
Dublin,August,2019,48,High,44,144,7.06,93,79
Dublin,September,2019,64,Medium,72,139,8.77,62,74
Dublin,October,2019,53,Medium,66,129,9.45,84,86
Dublin,November,2019,83,High,34,86,6.28,102,91
Dublin,December,2019,78,Very High,17,95,7.31,58,79
Dublin,January,2020,77,Medium,77,142,8.14,72,72
Dublin,February,2020,57,High,41,34,9.12,96,72
Dublin,March,2020,62,Medium,69,94,8.71,65,61
Dublin,April,2020,60,Medium,67,52,10.0,110,97
Dublin,May,2020,80,Medium,30,137,7.24,61,78
Dublin,June,2020,46,Medium,30,139,7.26,77,74
Dublin,July,2020,59,High,44,113,7.46,52,60
Dublin,August,2020,75,Very High,32,106,7.81,78,76
Dublin,September,2020,83,High,49,121,8.45,85,87
Dublin,October,2020,69,Very High,68,62,8.56,88,93
Dublin,November,2020,84,Medium,23,30,7.83,97,95
Dublin,December,2020,83,High,48,117,5.91,58,81
Dublin,January,2021,62,High,45,63,9.15,88,72
Dublin,February,2021,54,Medium,40,145,5.75,126,85
Dublin,March,2021,65,High,13,113,6.3,87,76
Dublin,April,2021,71,Medium,14,104,6.97,123,72
Dublin,May,2021,66,High,38,117,7.3,110,82
Dublin,June,2021,77,Medium,31,137,6.66,121,71
Dublin,July,2021,63,Low,26,124,5.95,121,71
Dublin,August,2021,66,High,38,75,7.21,89,86
Dublin,September,2021,66,Medium,84,67,9.93,65,90
Dublin,October,2021,48,Very High,84,104,10.0,59,90
Dublin,November,2021,57,Medium,58,97,8.07,56,69
Dublin,December,2021,53,Very High,53,82,10.0,108,69
Dublin,January,2022,65,Very High,33,129,5.53,92,100
Dublin,February,2022,56,Medium,17,30,8.26,76,70
Dublin,March,2022,81,High,72,130,8.64,61,68
Dublin,April,2022,84,Medium,64,81,8.21,111,84
Dublin,May,2022,45,Low,35,123,7.21,51,80
Dublin,June,2022,78,Low,10,110,6.56,78,82
Dublin,July,2022,64,Low,59,94,8.83,71,64
Dublin,August,2022,47,Medium,47,88,9.39,126,93
Dublin,September,2022,66,Medium,27,73,9.13,112,82
Dublin,October,2022,57,Low,61,32,9.28,66,73
Dublin,November,2022,46,Medium,31,45,8.56,54,84
Dublin,December,2022,85,Medium,78,109,7.04,56,66
Dublin,January,2023,46,Low,24,83,7.75,65,95
Dublin,February,2023,61,Medium,29,56,8.8,130,60
Dublin,March,2023,64,Medium,22,114,6.74,129,98
Dublin,April,2023,53,Medium,23,95,8.09,65,78
Dublin,May,2023,52,High,73,55,10.0,83,93
Dublin,June,2023,57,Medium,62,67,8.41,120,91
Dublin,July,2023,58,High,71,72,8.86,51,65
Dublin,August,2023,52,High,73,49,10.0,115,64
Dublin,September,2023,51,Very High,39,88,9.74,87,76
Dublin,October,2023,74,Low,32,141,4.86,87,83
Dublin,November,2023,65,Medium,24,42,9.22,55,60
Dublin,December,2023,53,High,31,72,7.78,106,99
Helsinki,January,2014,62,Very High,21,77,8.38,73,67
Helsinki,February,2014,70,Medium,68,64,10.0,111,86
Helsinki,March,2014,55,Low,17,150,7.06,63,86
Helsinki,April,2014,82,Medium,82,116,8.31,128,84
Helsinki,May,2014,67,High,26,91,8.47,64,86
Helsinki,June,2014,73,Low,43,113,6.71,117,96
Helsinki,July,2014,81,Low,53,96,7.84,129,66
Helsinki,August,2014,72,High,41,91,7.2,99,69
Helsinki,September,2014,80,Very High,16,31,8.05,70,92
Helsinki,October,2014,75,Very High,31,39,8.96,91,75
Helsinki,November,2014,66,Very High,16,94,5.95,98,85
Helsinki,December,2014,60,Low,66,132,8.42,61,91
Helsinki,January,2015,73,Medium,73,125,8.69,63,85
Helsinki,February,2015,71,Low,80,30,10.0,127,99
Helsinki,March,2015,85,Medium,75,101,7.55,108,81
Helsinki,April,2015,68,High,38,138,6.58,121,99
Helsinki,May,2015,83,Medium,56,121,7.19,62,74
Helsinki,June,2015,45,Medium,47,100,8.6,63,62
Helsinki,July,2015,55,Medium,62,43,9.23,75,72
Helsinki,August,2015,52,Very High,60,57,9.57,74,81
Helsinki,September,2015,51,High,15,148,6.51,125,67
Helsinki,October,2015,73,Medium,85,94,8.23,113,60
Helsinki,November,2015,78,High,80,149,7.68,124,90
Helsinki,December,2015,77,High,32,118,6.85,66,66
Helsinki,January,2016,69,High,51,94,9.23,103,98
Helsinki,February,2016,60,Medium,53,67,8.84,67,68
Helsinki,March,2016,71,High,75,68,10.0,120,80
Helsinki,April,2016,80,High,35,56,8.25,87,82
Helsinki,May,2016,53,Very High,32,94,7.94,91,67
Helsinki,June,2016,67,Medium,84,103,10.0,103,94
Helsinki,July,2016,63,Very High,64,133,6.55,63,61
Helsinki,August,2016,69,Low,17,55,6.81,70,78
Helsinki,September,2016,61,Low,17,118,7.34,76,94
Helsinki,October,2016,47,Medium,67,43,10.0,121,74
Helsinki,November,2016,80,Medium,75,130,8.89,86,63
Helsinki,December,2016,69,Medium,50,100,6.59,82,72
Helsinki,January,2017,84,Very High,66,136,6.58,97,97
Helsinki,February,2017,79,High,35,129,7.12,74,78
Helsinki,March,2017,73,Low,19,53,8.9,115,67
Helsinki,April,2017,69,Low,45,101,7.0,70,97
Helsinki,May,2017,61,Low,69,120,9.84,55,69
Helsinki,June,2017,65,Medium,48,92,9.0,120,82
Helsinki,July,2017,49,High,50,97,7.75,73,93
Helsinki,August,2017,49,High,30,83,8.2,101,65
Helsinki,September,2017,67,Low,37,114,6.69,96,78
Helsinki,October,2017,58,Very High,77,90,10.0,51,67
Helsinki,November,2017,67,Medium,41,35,9.48,91,84
Helsinki,December,2017,52,Medium,79,122,8.51,116,83
Helsinki,January,2018,77,High,67,92,7.16,74,80
Helsinki,February,2018,77,Low,22,51,8.96,118,94
Helsinki,March,2018,45,High,36,115,8.18,77,87
Helsinki,April,2018,51,Low,65,112,9.78,59,69
Helsinki,May,2018,46,Medium,52,34,8.78,56,71
Helsinki,June,2018,61,Medium,83,135,7.97,83,86
Helsinki,July,2018,69,Medium,61,85,8.12,99,67
Helsinki,August,2018,79,Low,18,126,6.57,55,64
Helsinki,September,2018,67,Very High,23,67,8.43,88,98
Helsinki,October,2018,50,Medium,66,78,9.27,53,90
Helsinki,November,2018,55,Medium,27,125,6.6,119,78
Helsinki,December,2018,85,Low,57,31,9.27,121,69
Helsinki,January,2019,52,Low,83,106,9.32,120,65
Helsinki,February,2019,64,Low,54,57,8.84,115,69
Helsinki,March,2019,55,Low,42,54,7.79,122,63
Helsinki,April,2019,80,Medium,80,39,9.39,58,76
Helsinki,May,2019,51,Low,84,92,10.0,95,68
Helsinki,June,2019,60,Low,18,145,5.1,112,88
Helsinki,July,2019,66,High,49,118,7.87,122,96
Helsinki,August,2019,68,High,64,51,8.01,81,74
Helsinki,September,2019,72,Medium,56,47,9.68,92,90
Helsinki,October,2019,74,Medium,49,92,8.06,72,98
Helsinki,November,2019,50,High,27,144,6.82,83,100
Helsinki,December,2019,49,High,12,138,6.27,53,97
Helsinki,January,2020,82,Medium,85,57,10.0,120,76
Helsinki,February,2020,79,Very High,79,90,9.45,69,83
Helsinki,March,2020,70,Low,85,123,9.91,67,89
Helsinki,April,2020,77,Medium,60,76,8.58,80,99
Helsinki,May,2020,55,High,27,87,6.67,122,96
Helsinki,June,2020,54,High,71,150,7.8,78,91
Helsinki,July,2020,59,Low,57,59,7.96,76,93
Helsinki,August,2020,68,Medium,68,142,6.48,91,66
Helsinki,September,2020,78,High,45,136,7.47,124,94
Helsinki,October,2020,81,Low,58,76,8.63,59,93
Helsinki,November,2020,61,Medium,38,96,7.49,94,91
Helsinki,December,2020,75,Very High,10,94,7.42,106,70
Helsinki,January,2021,59,Low,45,57,7.84,70,83
Helsinki,February,2021,83,High,25,114,5.42,92,67
Helsinki,March,2021,75,High,71,56,9.74,102,61
Helsinki,April,2021,60,Low,83,105,8.4,130,92
Helsinki,May,2021,47,Very High,28,37,7.97,73,93
Helsinki,June,2021,70,Medium,82,111,7.52,86,65
Helsinki,July,2021,58,Medium,70,141,8.19,78,86
Helsinki,August,2021,83,Low,84,135,8.97,129,92
Helsinki,September,2021,61,Low,53,148,7.19,125,64
Helsinki,October,2021,59,Medium,26,43,6.96,116,92
Helsinki,November,2021,71,High,22,52,7.64,128,98
Helsinki,December,2021,47,Very High,78,94,10.0,61,90
Helsinki,January,2022,53,Very High,79,135,7.37,105,93
Helsinki,February,2022,71,Medium,15,119,6.18,79,90
Helsinki,March,2022,69,Medium,83,42,10.0,82,90
Helsinki,April,2022,59,Very High,20,66,8.0,119,86
Helsinki,May,2022,61,Low,10,103,6.58,116,60
Helsinki,June,2022,69,High,50,82,7.88,69,87
Helsinki,July,2022,82,Medium,78,84,9.17,128,77
Helsinki,August,2022,70,High,62,100,9.23,111,71
Helsinki,September,2022,68,Medium,71,62,10.0,123,82
Helsinki,October,2022,70,High,25,125,5.59,70,66
Helsinki,November,2022,58,Medium,53,132,7.89,56,70
Helsinki,December,2022,69,Very High,10,132,4.46,68,90
Helsinki,January,2023,83,Medium,18,63,6.14,60,98
Helsinki,February,2023,47,High,61,108,9.34,86,98
Helsinki,March,2023,48,Very High,32,111,7.6,51,72
Helsinki,April,2023,78,Medium,14,130,5.92,116,74
Helsinki,May,2023,84,Low,14,76,5.74,50,70
Helsinki,June,2023,50,Very High,61,75,9.95,101,97
Helsinki,July,2023,57,Medium,18,147,4.84,86,95
Helsinki,August,2023,82,Medium,45,58,8.5,74,89
Helsinki,September,2023,70,Medium,43,52,8.3,63,95
Helsinki,October,2023,49,Medium,53,44,10.0,82,94
Helsinki,November,2023,81,Medium,66,78,8.84,81,81
Helsinki,December,2023,74,High,85,140,6.96,64,76
Lisbon,January,2014,49,Medium,38,116,8.33,90,86
Lisbon,February,2014,67,Medium,11,119,7.05,81,78
Lisbon,March,2014,50,Medium,53,39,10.0,72,90
Lisbon,April,2014,65,Medium,83,64,9.14,74,91
Lisbon,May,2014,57,Low,40,141,6.37,79,72
Lisbon,June,2014,60,High,55,49,10.0,65,65
Lisbon,July,2014,76,High,79,35,10.0,97,99
Lisbon,August,2014,65,Medium,83,141,7.87,73,92
Lisbon,September,2014,62,Medium,83,46,9.2,104,90
Lisbon,October,2014,79,Low,54,80,9.27,72,89
Lisbon,November,2014,52,High,68,70,10.0,51,73
Lisbon,December,2014,69,Medium,51,76,8.79,83,71
Lisbon,January,2015,80,Medium,44,90,8.94,93,83
Lisbon,February,2015,56,Medium,36,83,8.7,97,83
Lisbon,March,2015,70,Medium,33,103,6.05,123,74
Lisbon,April,2015,51,High,40,101,7.85,98,72
Lisbon,May,2015,54,High,29,90,8.66,72,86
Lisbon,June,2015,76,Low,76,98,9.46,112,79
Lisbon,July,2015,61,Medium,82,36,10.0,70,63
Lisbon,August,2015,58,High,70,137,8.71,107,81
Lisbon,September,2015,61,Medium,81,101,10.0,82,82
Lisbon,October,2015,46,Medium,54,141,8.5,127,72
Lisbon,November,2015,81,Medium,78,52,10.0,86,82
Lisbon,December,2015,65,High,72,129,9.06,60,84
Lisbon,January,2016,84,Medium,28,141,4.78,93,86
Lisbon,February,2016,85,High,61,138,8.35,60,70
Lisbon,March,2016,66,Low,50,113,7.13,84,98
Lisbon,April,2016,70,Medium,66,129,9.05,96,97
Lisbon,May,2016,78,Very High,62,51,8.17,52,68
Lisbon,June,2016,60,High,20,56,6.88,63,66
Lisbon,July,2016,49,Very High,70,100,7.99,100,93
Lisbon,August,2016,50,Low,29,40,9.32,99,79
Lisbon,September,2016,59,Low,46,86,8.73,66,93
Lisbon,October,2016,55,Low,55,140,9.0,110,89
Lisbon,November,2016,79,Very High,80,86,8.02,119,71
Lisbon,December,2016,82,Medium,82,85,9.19,118,79
Lisbon,January,2017,67,Medium,39,133,5.66,89,83
Lisbon,February,2017,71,Medium,48,31,7.67,67,82
Lisbon,March,2017,63,Medium,11,118,7.46,111,79
Lisbon,April,2017,45,High,47,106,7.6,50,95
Lisbon,May,2017,68,Low,81,85,9.18,70,84
Lisbon,June,2017,69,Low,20,84,7.43,116,99
Lisbon,July,2017,62,Medium,78,133,7.91,74,64
Lisbon,August,2017,56,Low,24,111,6.93,107,77
Lisbon,September,2017,84,Medium,51,32,7.84,118,61
Lisbon,October,2017,56,Very High,46,64,7.76,106,60
Lisbon,November,2017,59,Low,11,93,5.96,103,79
Lisbon,December,2017,76,Very High,69,119,8.97,92,65
Lisbon,January,2018,54,Low,60,39,10.0,73,72
Lisbon,February,2018,61,High,11,45,9.13,81,84
Lisbon,March,2018,73,Low,14,55,7.15,62,93
Lisbon,April,2018,58,Medium,49,149,6.71,130,62
Lisbon,May,2018,80,Medium,42,91,7.88,75,83
Lisbon,June,2018,48,Very High,37,44,8.37,105,80
Lisbon,July,2018,45,Low,45,104,7.23,81,60
Lisbon,August,2018,47,Medium,70,118,9.32,97,65
Lisbon,September,2018,60,Low,21,117,7.06,130,63
Lisbon,October,2018,48,Medium,29,119,7.45,63,68
Lisbon,November,2018,76,Low,81,130,8.79,94,88
Lisbon,December,2018,57,Low,58,75,9.78,82,62
Lisbon,January,2019,76,High,81,67,9.75,112,72
Lisbon,February,2019,81,Low,54,71,9.01,85,98
Lisbon,March,2019,80,Low,77,49,9.55,83,94
Lisbon,April,2019,68,Medium,74,78,10.0,52,99
Lisbon,May,2019,68,High,40,71,8.8,118,84
Lisbon,June,2019,57,Medium,73,128,8.8,128,78
Lisbon,July,2019,65,Medium,51,44,8.0,58,62
Lisbon,August,2019,53,Low,14,55,6.69,74,66
Lisbon,September,2019,47,Medium,59,114,8.64,129,97
Lisbon,October,2019,61,Low,38,107,8.2,51,73
Lisbon,November,2019,76,Very High,20,89,7.64,57,83
Lisbon,December,2019,80,High,63,135,7.03,57,99
Lisbon,January,2020,62,Medium,19,136,5.59,77,93
Lisbon,February,2020,51,Low,39,98,7.73,74,93
Lisbon,March,2020,60,Medium,32,101,8.21,103,66
Lisbon,April,2020,85,Medium,68,119,8.29,63,70
Lisbon,May,2020,56,Medium,74,73,10.0,118,98
Lisbon,June,2020,73,Very High,50,100,9.28,91,83
Lisbon,July,2020,71,High,65,135,8.45,127,75
Lisbon,August,2020,81,Medium,58,128,7.48,82,83
Lisbon,September,2020,73,Medium,60,30,10.0,86,98
Lisbon,October,2020,46,Medium,48,30,9.34,78,73
Lisbon,November,2020,65,Low,45,147,7.07,121,96
Lisbon,December,2020,81,Low,14,88,5.94,67,76
Lisbon,January,2021,68,Very High,41,59,7.69,88,65
Lisbon,February,2021,81,Medium,37,123,5.32,91,90
Lisbon,March,2021,56,Medium,83,134,10.0,126,79
Lisbon,April,2021,47,High,83,78,9.09,57,81
Lisbon,May,2021,67,Very High,65,83,10.0,65,74
Lisbon,June,2021,83,Very High,58,36,8.52,55,80
Lisbon,July,2021,79,Medium,51,94,8.38,69,63
Lisbon,August,2021,70,Very High,83,94,8.11,105,78
Lisbon,September,2021,70,Low,53,40,9.15,56,95
Lisbon,October,2021,70,Medium,61,94,8.26,66,68
Lisbon,November,2021,75,Medium,72,80,9.49,75,95
Lisbon,December,2021,84,Very High,77,61,8.57,84,87
Lisbon,January,2022,65,High,83,41,9.39,102,87
Lisbon,February,2022,68,Medium,51,74,8.8,53,79
Lisbon,March,2022,55,Very High,66,109,7.75,55,74
Lisbon,April,2022,57,High,29,126,7.62,60,67
Lisbon,May,2022,48,Low,28,141,7.86,86,60
Lisbon,June,2022,66,High,24,69,7.45,52,81
Lisbon,July,2022,58,High,37,56,8.76,83,95
Lisbon,August,2022,75,High,28,118,7.11,52,84
Lisbon,September,2022,82,Very High,77,35,9.19,57,78
Lisbon,October,2022,57,High,44,36,9.22,51,64
Lisbon,November,2022,69,High,56,140,6.19,87,84
Lisbon,December,2022,59,Very High,75,120,7.63,90,91
Lisbon,January,2023,83,Medium,33,55,7.73,108,95
Lisbon,February,2023,46,Low,77,69,9.82,100,70
Lisbon,March,2023,46,Medium,55,75,9.7,80,92
Lisbon,April,2023,62,High,42,142,6.64,53,95
Lisbon,May,2023,62,Low,53,144,7.06,67,65
Lisbon,June,2023,69,Medium,39,83,7.05,69,87
Lisbon,July,2023,64,Very High,52,87,8.55,76,68
Lisbon,August,2023,82,Medium,35,140,5.05,117,68
Lisbon,September,2023,72,Very High,28,113,8.0,70,80
Lisbon,October,2023,49,Medium,25,53,7.92,68,61
Lisbon,November,2023,65,Very High,62,82,8.3,85,69
Lisbon,December,2023,57,Low,33,33,9.74,128,99
London,January,2014,62,High,39,106,6.78,53,82
London,February,2014,50,High,71,47,10.0,127,90
London,March,2014,68,Low,59,92,8.4,70,72
London,April,2014,59,Low,11,148,5.02,102,74
London,May,2014,57,High,18,52,9.25,106,99
London,June,2014,76,High,68,143,6.82,101,62
London,July,2014,83,High,58,122,6.83,128,96
London,August,2014,83,Medium,14,96,4.98,108,62
London,September,2014,60,Medium,60,124,6.74,99,93
London,October,2014,85,Very High,34,67,7.29,88,78
London,November,2014,74,Low,47,108,8.76,116,69
London,December,2014,74,High,67,41,10.0,64,71
London,January,2015,82,Very High,79,47,9.44,91,88
London,February,2015,46,Low,85,144,9.78,75,89
London,March,2015,50,Medium,30,121,7.98,61,67
London,April,2015,73,High,20,97,7.29,115,99
London,May,2015,55,Medium,58,35,10.0,92,96
London,June,2015,54,Low,28,52,9.27,56,86
London,July,2015,64,Medium,67,66,9.82,65,68
London,August,2015,57,Low,42,31,9.23,113,94
London,September,2015,45,High,73,60,9.52,110,89
London,October,2015,71,Medium,10,61,8.2,85,99
London,November,2015,85,Medium,36,36,7.22,57,82
London,December,2015,47,Low,14,115,7.08,127,79
London,January,2016,66,Very High,16,43,7.55,72,70
London,February,2016,63,High,83,130,9.02,108,97
London,March,2016,68,Very High,21,128,5.64,97,84
London,April,2016,49,High,80,38,10.0,67,67
London,May,2016,62,Medium,62,97,7.81,76,99
London,June,2016,48,Low,77,41,10.0,127,78
London,July,2016,72,High,50,63,8.66,129,82
London,August,2016,53,High,73,96,10.0,113,91
London,September,2016,56,Very High,39,120,6.85,74,60
London,October,2016,52,Low,25,124,8.0,128,86
London,November,2016,71,Low,54,101,8.93,77,60
London,December,2016,85,Low,46,62,8.92,89,79
London,January,2017,77,Medium,10,44,7.77,93,85
London,February,2017,81,High,13,136,4.4,92,81
London,March,2017,75,Very High,14,112,4.98,69,100
London,April,2017,74,Very High,78,144,7.53,102,63
London,May,2017,78,Medium,50,101,7.75,76,96
London,June,2017,66,High,55,38,10.0,85,61
London,July,2017,66,Very High,78,137,7.4,127,84
London,August,2017,56,Medium,49,120,8.95,54,77
London,September,2017,71,Low,40,77,7.79,88,73
London,October,2017,78,Medium,24,77,7.93,75,65
London,November,2017,73,Medium,71,145,7.75,74,81
London,December,2017,75,High,77,69,10.0,68,66
London,January,2018,78,High,26,56,8.25,108,84
London,February,2018,78,Low,49,149,5.27,126,65
London,March,2018,66,Medium,15,43,7.82,89,61
London,April,2018,81,High,36,71,6.69,86,77
London,May,2018,79,Medium,66,115,6.82,69,70
London,June,2018,62,Low,81,95,8.29,119,82
London,July,2018,80,Medium,28,150,6.33,86,96
London,August,2018,60,Low,49,108,9.18,119,88
London,September,2018,48,Low,70,145,8.99,63,84
London,October,2018,48,Low,60,52,10.0,125,100
London,November,2018,73,High,49,72,9.28,118,65
London,December,2018,74,Medium,21,134,6.85,109,66
London,January,2019,74,Medium,69,90,7.94,78,69
London,February,2019,84,Medium,56,80,7.17,92,80
London,March,2019,74,Medium,18,90,5.54,111,89
London,April,2019,55,Medium,54,107,8.59,115,66
London,May,2019,70,High,23,71,7.57,59,79
London,June,2019,79,Medium,85,82,8.61,81,95
London,July,2019,55,Very High,59,38,9.47,125,87
London,August,2019,72,Medium,53,99,8.56,72,64
London,September,2019,81,High,24,105,6.72,91,95
London,October,2019,51,High,32,69,9.74,58,98
London,November,2019,51,High,58,71,9.35,57,65
London,December,2019,58,High,84,145,9.48,50,69
London,January,2020,54,Medium,47,79,9.03,107,72
London,February,2020,58,High,50,68,9.11,88,87
London,March,2020,67,Very High,84,31,10.0,115,85
London,April,2020,53,Very High,17,77,8.75,56,60
London,May,2020,80,High,55,44,10.0,53,75
London,June,2020,72,High,60,110,7.49,98,85
London,July,2020,69,Medium,37,114,6.15,67,72
London,August,2020,80,Medium,56,137,6.85,86,68
London,September,2020,53,Low,12,48,8.59,112,87
London,October,2020,53,Low,63,140,8.0,127,87
London,November,2020,84,Low,75,84,8.96,107,84
London,December,2020,67,Low,64,107,6.93,113,75
London,January,2021,77,Medium,79,103,8.39,54,96
London,February,2021,75,High,24,104,6.57,60,69
London,March,2021,78,Very High,45,89,7.73,116,99
London,April,2021,50,Low,19,117,7.32,124,79
London,May,2021,84,Low,53,98,8.48,110,89
London,June,2021,77,Very High,83,123,8.04,95,78
London,July,2021,63,Low,48,123,8.43,83,63
London,August,2021,85,Medium,31,103,5.28,87,99
London,September,2021,46,Medium,20,46,8.52,85,76
London,October,2021,53,High,45,139,6.7,64,98
London,November,2021,56,Very High,29,114,7.04,72,76
London,December,2021,60,Medium,77,140,7.08,60,69
London,January,2022,83,Very High,29,137,5.92,102,84
London,February,2022,60,High,31,56,8.55,94,63
London,March,2022,61,High,24,36,7.41,101,90
London,April,2022,64,Medium,78,59,9.66,99,90
London,May,2022,61,Low,65,31,9.52,107,84
London,June,2022,65,Very High,15,42,9.06,95,87
London,July,2022,84,Very High,44,72,7.11,62,76
London,August,2022,82,Medium,40,123,7.2,74,93
London,September,2022,66,High,33,70,8.08,51,64
London,October,2022,45,Medium,77,43,10.0,94,74
London,November,2022,63,Medium,14,33,8.37,57,98
London,December,2022,58,Very High,25,120,8.23,61,98
London,January,2023,53,Medium,82,132,10.0,64,71
London,February,2023,61,Medium,19,111,6.57,85,87
London,March,2023,65,Medium,19,65,8.34,98,84
London,April,2023,66,Very High,43,134,6.35,106,64
London,May,2023,76,Very High,35,108,6.64,112,66
London,June,2023,54,Medium,65,57,10.0,63,88
London,July,2023,61,Low,19,39,8.36,82,88
London,August,2023,46,Very High,29,113,7.94,54,84
London,September,2023,62,Low,52,145,6.99,50,92
London,October,2023,76,Medium,61,138,8.08,58,94
London,November,2023,59,Low,71,45,10.0,95,81
London,December,2023,64,Medium,21,76,7.5,93,65
Melbourne,January,2014,74,High,47,112,6.53,120,62
Melbourne,February,2014,69,High,48,119,7.14,63,100
Melbourne,March,2014,67,Medium,66,124,7.22,54,72
Melbourne,April,2014,46,High,85,60,10.0,58,94
Melbourne,May,2014,64,Medium,67,32,8.73,57,81
Melbourne,June,2014,47,Medium,37,133,7.87,116,89
Melbourne,July,2014,79,Low,84,59,10.0,54,69
Melbourne,August,2014,76,High,70,146,8.85,55,75
Melbourne,September,2014,53,Low,16,145,5.57,62,89
Melbourne,October,2014,84,Low,85,38,10.0,63,67
Melbourne,November,2014,76,Medium,38,38,9.39,104,81
Melbourne,December,2014,70,Medium,83,99,8.15,77,62
Melbourne,January,2015,82,Low,18,45,6.68,103,70
Melbourne,February,2015,68,Medium,66,61,10.0,55,68
Melbourne,March,2015,51,High,58,129,7.18,112,65
Melbourne,April,2015,45,Low,21,120,7.55,86,86
Melbourne,May,2015,75,High,36,48,8.65,116,88
Melbourne,June,2015,71,Low,32,108,7.57,126,71
Melbourne,July,2015,76,High,21,110,7.34,88,82
Melbourne,August,2015,71,Low,40,54,7.24,117,66
Melbourne,September,2015,84,Medium,79,94,7.92,130,73
Melbourne,October,2015,62,Low,24,131,5.43,110,91
Melbourne,November,2015,56,Low,15,36,8.63,86,73
Melbourne,December,2015,72,Medium,68,35,8.67,56,94
Melbourne,January,2016,56,Low,13,92,7.04,59,75
Melbourne,February,2016,73,Medium,51,83,7.29,91,74
Melbourne,March,2016,52,Medium,22,60,8.83,75,84
Melbourne,April,2016,59,Low,84,92,8.41,105,69
Melbourne,May,2016,58,Very High,68,52,9.6,67,89
Melbourne,June,2016,57,High,44,55,8.46,54,96
Melbourne,July,2016,48,Medium,24,139,6.64,103,70
Melbourne,August,2016,66,Low,47,107,6.73,128,70
Melbourne,September,2016,81,Very High,39,41,8.05,116,91
Melbourne,October,2016,58,Medium,69,65,8.26,104,75
Melbourne,November,2016,60,Medium,84,58,10.0,125,69
Melbourne,December,2016,81,Very High,63,35,8.01,110,92
Melbourne,January,2017,47,Medium,60,91,10.0,62,88
Melbourne,February,2017,76,Low,81,126,6.98,102,73
Melbourne,March,2017,53,Medium,40,112,9.27,52,90
Melbourne,April,2017,64,Low,68,139,8.23,124,61
Melbourne,May,2017,74,Medium,27,141,6.65,73,83
Melbourne,June,2017,85,Medium,10,140,5.43,99,81
Melbourne,July,2017,78,Low,64,126,7.01,128,94
Melbourne,August,2017,81,High,20,109,7.33,57,92
Melbourne,September,2017,68,Very High,24,79,6.94,129,62
Melbourne,October,2017,68,Medium,81,120,7.5,76,68
Melbourne,November,2017,66,Low,24,113,6.66,124,73
Melbourne,December,2017,59,Medium,44,94,8.65,85,63
