city,month,year,decibel_level,traffic_density,green_space_area,air_quality_index,happiness_score,cost_of_living_index,healthcare_index,date,period
London,June,2016,70,Medium,55.0,142.0,6.92,109,69.0,2016-06-01,2016-06
Stockholm,June,2016,74,Medium,38.0,131.0,6.85,87,86.0,2016-06-01,2016-06
Prague,June,2016,69,Low,76.0,147.0,7.88,119,73.0,2016-06-01,2016-06
Rome,June,2016,70,High,12.0,121.0,6.32,126,61.0,2016-06-01,2016-06
Tokyo,June,2016,60,Very High,12.0,94.0,7.04,105,81.0,2016-06-01,2016-06
Melbourne,June,2016,46,Very High,66.0,63.0,8.77,87,94.0,2016-06-01,2016-06
Montreal,June,2016,49,High,58.0,35.0,10.0,104,63.0,2016-06-01,2016-06
Dublin,June,2016,84,Very High,36.0,130.0,6.38,115,92.0,2016-06-01,2016-06
Lisbon,June,2016,70,Low,71.0,83.0,9.78,63,65.0,2016-06-01,2016-06
Zurich,June,2016,58,Low,84.0,54.0,9.96,94,72.0,2016-06-01,2016-06
New York,June,2016,62,Medium,50.0,125.0,8.34,76,71.0,2016-06-01,2016-06
Helsinki,June,2016,61,High,83.0,137.0,7.33,70,73.0,2016-06-01,2016-06
Auckland,June,2016,52,Very High,76.0,101.0,10.0,109,95.0,2016-06-01,2016-06
Paris,June,2016,76,High,46.0,64.0,8.88,76,73.0,2016-06-01,2016-06
Toronto,June,2016,64,Very High,17.0,114.0,6.95,119,75.0,2016-06-01,2016-06
Barcelona,June,2016,83,Medium,19.0,128.0,5.56,91,77.0,2016-06-01,2016-06
Vienna,June,2016,51,Medium,61.0,138.0,6.98,116,61.0,2016-06-01,2016-06
Oslo,June,2016,75,Low,48.0,79.0,9.45,77,62.0,2016-06-01,2016-06
Warsaw,June,2016,51,Medium,28.0,144.0,5.39,81,86.0,2016-06-01,2016-06
Sydney,June,2016,70,Low,60.0,93.0,7.57,116,91.0,2016-06-01,2016-06
Barcelona,July,2016,60,Medium,58.0,109.0,8.74,60,84.0,2016-07-01,2016-07
Vienna,July,2016,55,Medium,37.0,139.0,6.91,114,92.0,2016-07-01,2016-07
Berlin,July,2016,66,High,33.0,95.0,6.34,126,74.0,2016-07-01,2016-07
Warsaw,July,2016,84,Very High,73.0,32.0,9.32,58,99.0,2016-07-01,2016-07
Barcelona,July,2016,83,Medium,52.0,85.0,6.92,91,72.0,2016-07-01,2016-07
Copenhagen,July,2016,74,Very High,61.0,141.0,7.97,50,64.0,2016-07-01,2016-07
Zurich,July,2016,79,Very High,63.0,45.0,10.0,63,84.0,2016-07-01,2016-07
Auckland,July,2016,75,High,80.0,50.0,10.0,81,77.0,2016-07-01,2016-07
Dublin,July,2016,82,Medium,70.0,81.0,7.92,76,72.0,2016-07-01,2016-07
Toronto,July,2016,76,Low,45.0,72.0,8.33,101,86.0,2016-07-01,2016-07
Tokyo,July,2016,64,Low,75.0,61.0,8.75,97,62.0,2016-07-01,2016-07
Sydney,July,2016,59,Low,42.0,39.0,10.0,121,95.0,2016-07-01,2016-07
Prague,July,2016,85,High,79.0,93.0,8.01,76,81.0,2016-07-01,2016-07
Oslo,July,2016,53,Very High,24.0,140.0,5.97,87,74.0,2016-07-01,2016-07
Rome,July,2016,63,Low,83.0,93.0,9.94,90,90.0,2016-07-01,2016-07
New York,July,2016,49,Medium,26.0,99.0,8.24,124,61.0,2016-07-01,2016-07
Paris,July,2016,72,Medium,19.0,146.0,5.03,129,80.0,2016-07-01,2016-07
Montreal,July,2016,68,Medium,26.0,104.0,7.39,98,63.0,2016-07-01,2016-07
Stockholm,July,2016,78,High,46.0,112.0,8.66,93,60.0,2016-07-01,2016-07
London,July,2016,56,High,29.0,31.0,7.81,73,61.0,2016-07-01,2016-07
San Francisco,July,2016,83,High,48.0,35.0,9.48,101,79.0,2016-07-01,2016-07
Melbourne,July,2016,70,Low,78.0,44.0,9.18,124,68.0,2016-07-01,2016-07
Lisbon,July,2016,70,High,74.0,89.0,7.91,56,76.0,2016-07-01,2016-07
Helsinki,August,2016,54,Low,43.0,65.0,9.09,124,67.0,2016-08-01,2016-08
London,August,2016,76,Medium,80.0,54.0,8.66,70,63.0,2016-08-01,2016-08
Toronto,August,2016,73,Medium,71.0,49.0,9.57,92,90.0,2016-08-01,2016-08
Dublin,August,2016,63,Medium,42.0,47.0,9.21,95,62.0,2016-08-01,2016-08
San Francisco,August,2016,67,High,12.0,47.0,7.48,77,90.0,2016-08-01,2016-08
Melbourne,August,2016,50,Low,79.0,60.0,9.37,118,76.0,2016-08-01,2016-08
Oslo,August,2016,49,High,39.0,42.0,9.84,96,95.0,2016-08-01,2016-08
Auckland,August,2016,59,Low,50.0,40.0,8.92,69,64.0,2016-08-01,2016-08
Sydney,August,2016,52,Very High,11.0,92.0,7.37,53,64.0,2016-08-01,2016-08
Zurich,August,2016,47,Medium,62.0,60.0,9.04,51,73.0,2016-08-01,2016-08
Lisbon,August,2016,72,Medium,78.0,44.0,9.59,99,65.0,2016-08-01,2016-08
Prague,August,2016,48,Very High,57.0,65.0,10.0,74,99.0,2016-08-01,2016-08
Copenhagen,August,2016,84,High,83.0,130.0,7.03,57,83.0,2016-08-01,2016-08
Montreal,August,2016,62,Medium,16.0,78.0,5.87,121,87.0,2016-08-01,2016-08
Warsaw,August,2016,70,Medium,78.0,100.0,8.2,70,62.0,2016-08-01,2016-08
New York,August,2016,61,Low,66.0,122.0,8.3,119,66.0,2016-08-01,2016-08
Vienna,August,2016,60,Very High,50.0,53.0,8.64,58,76.0,2016-08-01,2016-08
Rome,August,2016,76,Low,21.0,78.0,6.26,81,97.0,2016-08-01,2016-08
Tokyo,August,2016,72,High,21.0,47.0,8.14,120,88.0,2016-08-01,2016-08
Paris,August,2016,82,Low,47.0,46.0,8.64,98,66.0,2016-08-01,2016-08
Barcelona,August,2016,53,Low,49.0,127.0,6.64,105,95.0,2016-08-01,2016-08
Stockholm,August,2016,49,Medium,39.0,121.0,7.77,70,98.0,2016-08-01,2016-08
Copenhagen,September,2016,66,Medium,18.0,129.0,6.77,64,97.0,2016-09-01,2016-09
Montreal,September,2016,66,Low,64.0,92.0,10.0,53,79.0,2016-09-01,2016-09
Auckland,September,2016,46,Low,18.0,113.0,5.96,75,99.0,2016-09-01,2016-09
Rome,September,2016,63,Low,47.0,71.0,8.63,71,74.0,2016-09-01,2016-09
Prague,September,2016,70,Medium,10.0,145.0,6.58,94,93.0,2016-09-01,2016-09
Sydney,September,2016,49,Low,62.0,93.0,9.83,124,80.0,2016-09-01,2016-09
Paris,September,2016,66,High,23.0,66.0,7.43,209,71.0,2016-09-01,2016-09
Toronto,September,2016,55,Low,54.0,69.0,7.81,67,72.0,2016-09-01,2016-09
Berlin,September,2016,84,Very High,29.0,52.0,8.08,118,67.0,2016-09-01,2016-09
Berlin,September,2016,78,Low,65.0,77.0,9.63,111,84.0,2016-09-01,2016-09
London,September,2016,64,High,73.0,83.0,8.21,93,99.0,2016-09-01,2016-09
Tokyo,September,2016,62,Medium,11.0,46.0,6.77,89,76.0,2016-09-01,2016-09
Auckland,September,2016,101,High,12.0,127.0,5.61,88,86.0,2016-09-01,2016-09
Melbourne,September,2016,84,Very High,38.0,41.0,8.96,104,94.0,2016-09-01,2016-09
Lisbon,September,2016,52,Low,68.0,89.0,8.64,108,98.0,2016-09-01,2016-09
Oslo,September,2016,45,Low,52.0,100.0,8.49,65,77.0,2016-09-01,2016-09
New York,September,2016,85,High,33.0,36.0,8.58,118,88.0,2016-09-01,2016-09
New York,September,2016,82,High,28.0,65.0,8.78,69,65.0,2016-09-01,2016-09
Dublin,September,2016,49,Medium,47.0,86.0,9.24,60,92.0,2016-09-01,2016-09
Zurich,September,2016,54,Low,28.0,108.0,8.35,299,79.0,2016-09-01,2016-09
Helsinki,September,2016,76,Very High,56.0,56.0,9.4,102,100.0,2016-09-01,2016-09
Stockholm,September,2016,46,Medium,16.0,61.0,9.14,80,92.0,2016-09-01,2016-09
Warsaw,September,2016,83,High,35.0,54.0,8.7,69,63.0,2016-09-01,2016-09
San Francisco,September,2016,51,Low,23.0,50.0,7.2,120,80.0,2016-09-01,2016-09
Vienna,September,2016,55,Medium,28.0,133.0,7.07,58,69.0,2016-09-01,2016-09
Barcelona,September,2016,80,Medium,11.0,79.0,5.47,81,70.0,2016-09-01,2016-09
Stockholm,September,2016,82,Low,40.0,63.0,7.84,85,86.0,2016-09-01,2016-09
New York,October,2016,66,Very High,15.0,104.0,7.21,118,76.0,2016-10-01,2016-10
Paris,October,2016,64,Low,77.0,68.0,10.0,70,89.0,2016-10-01,2016-10
Lisbon,October,2016,70,Low,74.0,108.0,8.11,79,72.0,2016-10-01,2016-10
Auckland,October,2016,55,Medium,59.0,116.0,8.07,66,94.0,2016-10-01,2016-10
Oslo,October,2016,65,Medium,25.0,61.0,9.05,64,64.0,2016-10-01,2016-10
Prague,October,2016,63,Low,83.0,123.0,7.66,58,63.0,2016-10-01,2016-10
Lisbon,October,2016,85,High,55.0,87.0,7.6,64,62.0,2016-10-01,2016-10
Sydney,October,2016,64,Very High,42.0,120.0,8.58,127,65.0,2016-10-01,2016-10
Berlin,October,2016,85,Low,76.0,106.0,9.85,86,73.0,2016-10-01,2016-10
Barcelona,October,2016,60,Low,48.0,39.0,8.25,113,72.0,2016-10-01,2016-10
Warsaw,October,2016,73,High,46.0,95.0,6.94,118,99.0,2016-10-01,2016-10
Zurich,October,2016,55,Medium,73.0,79.0,9.47,111,98.0,2016-10-01,2016-10
Montreal,October,2016,53,High,57.0,81.0,7.73,73,81.0,2016-10-01,2016-10
London,October,2016,73,High,57.0,90.0,9.52,81,80.0,2016-10-01,2016-10
Vienna,October,2016,81,High,75.0,113.0,8.4,124,85.0,2016-10-01,2016-10
Melbourne,October,2016,46,Very High,11.0,129.0,7.4,53,70.0,2016-10-01,2016-10
Toronto,October,2016,77,High,82.0,130.0,9.72,108,99.0,2016-10-01,2016-10
Rome,October,2016,76,Low,62.0,148.0,5.97,62,73.0,2016-10-01,2016-10
Copenhagen,October,2016,73,Medium,64.0,38.0,10.0,117,90.0,2016-10-01,2016-10
Helsinki,October,2016,53,Low,20.0,33.0,9.74,130,71.0,2016-10-01,2016-10
Tokyo,October,2016,45,Medium,12.0,89.0,6.83,64,75.0,2016-10-01,2016-10
Dublin,October,2016,64,Low,35.0,116.0,8.66,85,98.0,2016-10-01,2016-10
Helsinki,October,2016,83,Very High,11.0,114.0,6.01,65,82.0,2016-10-01,2016-10
San Francisco,October,2016,63,Very High,47.0,37.0,9.63,54,62.0,2016-10-01,2016-10
Berlin,October,2016,79,Medium,39.0,40.0,7.24,295,60.0,2016-10-01,2016-10
Rome,November,2016,67,Medium,63.0,98.0,7.55,129,94.0,2016-11-01,2016-11
Vienna,November,2016,62,High,57.0,121.0,8.2,103,93.0,2016-11-01,2016-11
Toronto,November,2016,84,High,30.0,62.0,7.76,114,87.0,2016-11-01,2016-11
Prague,November,2016,73,Low,50.0,87.0,9.24,54,98.0,2016-11-01,2016-11
Dublin,November,2016,70,Very High,48.0,74.0,8.38,124,60.0,2016-11-01,2016-11
Stockholm,November,2016,49,Low,51.0,100.0,7.69,52,83.0,2016-11-01,2016-11
Montreal,November,2016,54,High,64.0,53.0,9.8,107,90.0,2016-11-01,2016-11
Warsaw,November,2016,56,Very High,36.0,103.0,8.21,91,67.0,2016-11-01,2016-11
Berlin,November,2016,61,Low,23.0,113.0,7.37,104,99.0,2016-11-01,2016-11
Lisbon,November,2016,60,Low,45.0,88.0,7.86,117,62.0,2016-11-01,2016-11
Auckland,November,2016,65,High,16.0,71.0,6.02,98,86.0,2016-11-01,2016-11
Tokyo,November,2016,83,Low,28.0,46.0,6.47,104,89.0,2016-11-01,2016-11
Copenhagen,November,2016,50,High,18.0,143.0,5.69,72,64.0,2016-11-01,2016-11
Oslo,November,2016,69,Low,74.0,76.0,8.55,55,98.0,2016-11-01,2016-11
Helsinki,November,2016,54,High,13.0,96.0,5.9,96,73.0,2016-11-01,2016-11
Sydney,November,2016,56,Low,58.0,59.0,8.5,124,67.0,2016-11-01,2016-11
New York,November,2016,50,Low,19.0,42.0,9.01,65,92.0,2016-11-01,2016-11
San Francisco,November,2016,51,High,76.0,47.0,9.73,51,78.0,2016-11-01,2016-11
London,November,2016,53,Very High,53.0,72.0,9.42,130,74.0,2016-11-01,2016-11
Prague,November,2016,77,Medium,34.0,113.0,5.44,111,80.0,2016-11-01,2016-11
Melbourne,November,2016,83,Low,78.0,37.0,8.74,69,80.0,2016-11-01,2016-11
Zurich,November,2016,54,Low,17.0,129.0,7.37,55,61.0,2016-11-01,2016-11
Paris,November,2016,75,Medium,36.0,112.0,7.02,119,78.0,2016-11-01,2016-11
Sydney,December,2016,55,Medium,75.0,102.0,10.0,96,90.0,2016-12-01,2016-12
Helsinki,December,2016,74,Low,21.0,100.0,5.87,113,85.0,2016-12-01,2016-12
Stockholm,December,2016,49,Medium,67.0,95.0,8.91,98,87.0,2016-12-01,2016-12
Barcelona,December,2016,70,High,41.0,65.0,9.04,122,94.0,2016-12-01,2016-12
Dublin,December,2016,74,Medium,70.0,105.0,7.54,109,65.0,2016-12-01,2016-12
Lisbon,December,2016,72,High,20.0,111.0,7.15,73,76.0,2016-12-01,2016-12
New York,December,2016,76,High,19.0,36.0,7.32,54,74.0,2016-12-01,2016-12
Oslo,December,2016,74,High,57.0,84.0,7.49,95,66.0,2016-12-01,2016-12
Paris,December,2016,81,High,57.0,89.0,8.63,84,80.0,2016-12-01,2016-12
Berlin,December,2016,70,High,81.0,69.0,10.0,65,88.0,2016-12-01,2016-12
Warsaw,December,2016,79,Very High,57.0,112.0,6.33,89,77.0,2016-12-01,2016-12
Tokyo,December,2016,80,High,81.0,100.0,10.0,108,90.0,2016-12-01,2016-12
Vienna,December,2016,51,High,42.0,120.0,7.58,207,77.0,2016-12-01,2016-12
Rome,December,2016,49,Medium,17.0,96.0,7.35,120,81.0,2016-12-01,2016-12
San Francisco,December,2016,76,Medium,49.0,58.0,8.95,85,96.0,2016-12-01,2016-12
Montreal,December,2016,77,High,32.0,42.0,9.61,82,93.0,2016-12-01,2016-12
Melbourne,December,2016,63,High,28.0,103.0,8.03,59,78.0,2016-12-01,2016-12
London,December,2016,50,Medium,22.0,48.0,8.09,109,77.0,2016-12-01,2016-12
Zurich,December,2016,53,Medium,56.0,118.0,8.76,122,100.0,2016-12-01,2016-12
Toronto,December,2016,70,Medium,68.0,101.0,8.76,94,75.0,2016-12-01,2016-12
Copenhagen,December,2016,53,Very High,47.0,117.0,6.64,103,61.0,2016-12-01,2016-12
Prague,January,2017,51,Medium,36.0,43.0,7.89,99,93.0,2017-01-01,2017-01
Paris,January,2017,73,High,40.0,139.0,5.31,100,63.0,2017-01-01,2017-01
Copenhagen,January,2017,82,Very High,53.0,130.0,7.26,117,88.0,2017-01-01,2017-01
Sydney,January,2017,66,High,72.0,45.0,9.12,129,89.0,2017-01-01,2017-01
New York,January,2017,76,Medium,24.0,52.0,6.63,82,95.0,2017-01-01,2017-01
Vienna,January,2017,83,High,64.0,129.0,7.68,124,70.0,2017-01-01,2017-01
London,January,2017,67,High,70.0,89.0,8.94,111,77.0,2017-01-01,2017-01
Tokyo,January,2017,81,Medium,37.0,40.0,8.27,108,70.0,2017-01-01,2017-01
Rome,January,2017,82,Medium,37.0,150.0,7.19,118,96.0,2017-01-01,2017-01
Lisbon,January,2017,60,Very High,48.0,99.0,9.45,56,90.0,2017-01-01,2017-01
Zurich,January,2017,72,Medium,32.0,113.0,8.01,123,60.0,2017-01-01,2017-01
Helsinki,January,2017,76,High,85.0,131.0,8.87,107,77.0,2017-01-01,2017-01
Warsaw,January,2017,78,High,64.0,82.0,9.02,94,100.0,2017-01-01,2017-01
Melbourne,January,2017,69,Medium,47.0,63.0,7.62,93,93.0,2017-01-01,2017-01
Toronto,January,2017,60,Medium,41.0,140.0,8.1,50,100.0,2017-01-01,2017-01
Oslo,January,2017,75,Medium,71.0,112.0,9.79,57,91.0,2017-01-01,2017-01
Berlin,January,2017,50,High,16.0,89.0,6.63,110,87.0,2017-01-01,2017-01
San Francisco,January,2017,69,High,34.0,96.0,6.04,93,80.0,2017-01-01,2017-01
Stockholm,January,2017,68,Very High,82.0,102.0,8.86,93,75.0,2017-01-01,2017-01
Auckland,January,2017,55,Low,31.0,125.0,8.31,63,79.0,2017-01-01,2017-01
Dublin,January,2017,45,Low,57.0,141.0,8.87,95,86.0,2017-01-01,2017-01
New York,February,2017,69,Low,51.0,63.0,9.66,74,60.0,2017-02-01,2017-02
Oslo,February,2017,56,Very High,48.0,71.0,9.58,70,81.0,2017-02-01,2017-02
Dublin,February,2017,66,Medium,14.0,49.0,9.04,127,96.0,2017-02-01,2017-02
Rome,February,2017,83,Very High,43.0,54.0,8.47,72,70.0,2017-02-01,2017-02
Tokyo,February,2017,50,Low,74.0,95.0,9.68,108,74.0,2017-02-01,2017-02
Stockholm,February,2017,67,Medium,46.0,101.0,9.11,90,83.0,2017-02-01,2017-02
Lisbon,February,2017,45,Low,61.0,116.0,8.66,52,68.0,2017-02-01,2017-02
Sydney,February,2017,80,Very High,85.0,73.0,10.0,120,64.0,2017-02-01,2017-02
Paris,February,2017,77,Medium,51.0,70.0,7.8,85,93.0,2017-02-01,2017-02
Helsinki,February,2017,77,Medium,18.0,143.0,4.14,102,93.0,2017-02-01,2017-02
Warsaw,February,2017,47,Medium,11.0,93.0,6.1,56,67.0,2017-02-01,2017-02
Melbourne,February,2017,55,Medium,51.0,36.0,10.0,98,95.0,2017-02-01,2017-02
Vienna,February,2017,81,High,44.0,105.0,8.29,126,83.0,2017-02-01,2017-02
Montreal,February,2017,72,Very High,62.0,139.0,6.79,64,63.0,2017-02-01,2017-02
San Francisco,February,2017,51,Low,57.0,89.0,7.6,60,93.0,2017-02-01,2017-02
London,February,2017,57,Low,25.0,37.0,9.51,114,84.0,2017-02-01,2017-02
Barcelona,February,2017,71,Medium,78.0,147.0,9.29,96,94.0,2017-02-01,2017-02
Prague,February,2017,49,High,76.0,55.0,10.0,55,61.0,2017-02-01,2017-02
Zurich,February,2017,55,High,30.0,36.0,10.0,119,84.0,2017-02-01,2017-02
Toronto,February,2017,61,Medium,27.0,80.0,6.66,93,86.0,2017-02-01,2017-02
Copenhagen,February,2017,63,High,46.0,36.0,8.59,71,70.0,2017-02-01,2017-02
Berlin,February,2017,56,High,76.0,106.0,7.84,106,93.0,2017-02-01,2017-02
Auckland,February,2017,83,Low,41.0,128.0,7.07,122,82.0,2017-02-01,2017-02
Rome,March,2017,77,High,85.0,43.0,8.99,110,78.0,2017-03-01,2017-03
Toronto,March,2017,52,Low,14.0,64.0,6.47,89,78.0,2017-03-01,2017-03
Stockholm,March,2017,49,High,19.0,70.0,8.52,73,83.0,2017-03-01,2017-03
Dublin,March,2017,50,Medium,82.0,111.0,8.62,120,98.0,2017-03-01,2017-03
Warsaw,March,2017,52,Low,47.0,54.0,7.92,97,97.0,2017-03-01,2017-03
Lisbon,March,2017,83,Low,38.0,66.0,7.38,125,98.0,2017-03-01,2017-03
Prague,March,2017,48,High,47.0,143.0,6.36,111,88.0,2017-03-01,2017-03
Melbourne,March,2017,85,Medium,55.0,32.0,9.92,117,64.0,2017-03-01,2017-03
Copenhagen,March,2017,73,High,40.0,70.0,9.44,73,62.0,2017-03-01,2017-03
Zurich,March,2017,74,High,46.0,108.0,7.55,215,62.0,2017-03-01,2017-03
Barcelona,March,2017,66,High,82.0,116.0,9.01,105,66.0,2017-03-01,2017-03
Paris,March,2017,48,Medium,42.0,89.0,9.51,107,86.0,2017-03-01,2017-03
Vienna,March,2017,68,Low,51.0,87.0,8.21,109,75.0,2017-03-01,2017-03
Sydney,March,2017,82,Low,71.0,134.0,7.43,77,72.0,2017-03-01,2017-03
Oslo,March,2017,61,Low,48.0,87.0,7.28,107,84.0,2017-03-01,2017-03
Montreal,March,2017,80,Medium,59.0,98.0,7.02,71,76.0,2017-03-01,2017-03
New York,March,2017,83,Medium,49.0,96.0,6.55,92,89.0,2017-03-01,2017-03
Helsinki,March,2017,45,High,57.0,129.0,9.24,51,73.0,2017-03-01,2017-03
Prague,March,2017,68,Medium,64.0,120.0,8.93,80,97.0,2017-03-01,2017-03
Berlin,March,2017,62,Low,40.0,50.0,8.79,95,85.0,2017-03-01,2017-03
Tokyo,March,2017,85,Very High,49.0,35.0,9.07,94,80.0,2017-03-01,2017-03
Auckland,March,2017,74,Low,65.0,111.0,7.47,105,93.0,2017-03-01,2017-03
San Francisco,March,2017,47,Very High,11.0,82.0,7.35,64,73.0,2017-03-01,2017-03
Stockholm,April,2017,61,Low,70.0,127.0,9.78,53,95.0,2017-04-01,2017-04
London,April,2017,65,Low,85.0,32.0,10.0,97,84.0,2017-04-01,2017-04
Berlin,April,2017,83,Low,84.0,134.0,7.22,108,80.0,2017-04-01,2017-04
Oslo,April,2017,53,High,80.0,81.0,10.0,66,93.0,2017-04-01,2017-04
Montreal,April,2017,62,High,42.0,126.0,7.2,104,83.0,2017-04-01,2017-04
Sydney,April,2017,67,Low,73.0,143.0,8.77,83,93.0,2017-04-01,2017-04
Auckland,April,2017,50,Medium,44.0,61.0,9.54,107,89.0,2017-04-01,2017-04
Oslo,April,2017,74,High,17.0,94.0,5.31,93,70.0,2017-04-01,2017-04
Toronto,April,2017,50,Very High,52.0,66.0,10.0,118,71.0,2017-04-01,2017-04
San Francisco,April,2017,53,Medium,58.0,83.0,10.0,128,95.0,2017-04-01,2017-04
Lisbon,April,2017,55,Medium,69.0,93.0,9.64,82,96.0,2017-04-01,2017-04
Tokyo,April,2017,62,Very High,60.0,34.0,9.7,126,75.0,2017-04-01,2017-04
Copenhagen,April,2017,74,Very High,13.0,93.0,5.93,294,94.0,2017-04-01,2017-04
Rome,April,2017,65,Low,56.0,36.0,9.42,74,79.0,2017-04-01,2017-04
Barcelona,April,2017,46,Medium,85.0,49.0,10.0,87,65.0,2017-04-01,2017-04
Helsinki,April,2017,49,Medium,23.0,121.0,6.49,103,87.0,2017-04-01,2017-04
New York,April,2017,61,Medium,50.0,117.0,6.81,73,100.0,2017-04-01,2017-04
Prague,April,2017,66,Medium,71.0,35.0,10.0,84,87.0,2017-04-01,2017-04
Dublin,April,2017,55,Medium,18.0,77.0,7.29,102,67.0,2017-04-01,2017-04
Zurich,April,2017,80,High,43.0,97.0,6.64,84,94.0,2017-04-01,2017-04
Vienna,April,2017,72,High,28.0,121.0,7.18,113,95.0,2017-04-01,2017-04
Paris,April,2017,64,Low,23.0,144.0,4.63,115,90.0,2017-04-01,2017-04
Melbourne,April,2017,61,Medium,77.0,63.0,10.0,72,90.0,2017-04-01,2017-04
Toronto,May,2017,76,Very High,25.0,82.0,7.34,72,84.0,2017-05-01,2017-05
Auckland,May,2017,62,Medium,43.0,142.0,6.74,116,65.0,2017-05-01,2017-05
Warsaw,May,2017,119,Medium,35.0,147.0,4.54,105,71.0,2017-05-01,2017-05
Stockholm,May,2017,112,High,21.0,124.0,5.43,72,87.0,2017-05-01,2017-05
San Francisco,May,2017,70,Low,81.0,98.0,7.91,59,89.0,2017-05-01,2017-05
Lisbon,May,2017,46,Low,47.0,87.0,8.51,124,82.0,2017-05-01,2017-05
Vienna,May,2017,85,Low,13.0,56.0,5.85,102,68.0,2017-05-01,2017-05
Paris,May,2017,65,Low,47.0,129.0,6.71,55,80.0,2017-05-01,2017-05
Dublin,May,2017,55,Very High,49.0,120.0,7.79,89,92.0,2017-05-01,2017-05
Montreal,May,2017,63,High,34.0,121.0,7.41,128,91.0,2017-05-01,2017-05
Zurich,May,2017,49,Medium,27.0,53.0,9.29,114,87.0,2017-05-01,2017-05
Warsaw,May,2017,52,Very High,59.0,149.0,6.89,87,95.0,2017-05-01,2017-05
Melbourne,May,2017,70,High,44.0,116.0,7.85,87,93.0,2017-05-01,2017-05
Berlin,May,2017,81,Medium,75.0,142.0,6.96,106,96.0,2017-05-01,2017-05
Tokyo,May,2017,48,Low,63.0,31.0,10.0,59,72.0,2017-05-01,2017-05
Prague,May,2017,74,High,75.0,50.0,8.95,99,95.0,2017-05-01,2017-05
Sydney,May,2017,60,Medium,20.0,137.0,6.91,106,80.0,2017-05-01,2017-05
New York,May,2017,67,Medium,73.0,131.0,7.04,52,85.0,2017-05-01,2017-05
Oslo,May,2017,82,Very High,76.0,96.0,9.49,72,81.0,2017-05-01,2017-05
Helsinki,May,2017,69,Medium,25.0,106.0,8.04,52,96.0,2017-05-01,2017-05
Berlin,May,2017,65,Low,53.0,149.0,6.29,123,72.0,2017-05-01,2017-05
Barcelona,May,2017,65,Medium,70.0,122.0,7.94,55,67.0,2017-05-01,2017-05
London,May,2017,54,Low,63.0,89.0,8.56,98,98.0,2017-05-01,2017-05
Rome,May,2017,65,Low,62.0,100.0,9.43,102,87.0,2017-05-01,2017-05
Copenhagen,May,2017,73,Medium,83.0,132.0,8.64,64,62.0,2017-05-01,2017-05
Tokyo,May,2017,78,Low,49.0,82.0,7.36,84,87.0,2017-05-01,2017-05
London,May,2017,77,Medium,46.0,126.0,5.82,66,64.0,2017-05-01,2017-05
Berlin,June,2017,59,High,71.0,38.0,10.0,79,86.0,2017-06-01,2017-06
Toronto,June,2017,76,Low,37.0,109.0,5.53,122,83.0,2017-06-01,2017-06
Dublin,June,2017,76,Medium,41.0,146.0,7.58,123,65.0,2017-06-01,2017-06
Rome,June,2017,83,Low,85.0,82.0,10.0,69,79.0,2017-06-01,2017-06
Montreal,June,2017,55,Medium,41.0,112.0,8.31,53,95.0,2017-06-01,2017-06
Stockholm,June,2017,55,Medium,80.0,76.0,8.61,123,96.0,2017-06-01,2017-06
Paris,June,2017,47,Medium,37.0,82.0,8.53,92,94.0,2017-06-01,2017-06
Copenhagen,June,2017,59,High,17.0,54.0,7.67,85,65.0,2017-06-01,2017-06
Sydney,June,2017,78,Medium,10.0,64.0,7.91,90,99.0,2017-06-01,2017-06
Prague,June,2017,72,High,26.0,77.0,8.66,269,89.0,2017-06-01,2017-06
Auckland,June,2017,60,Medium,12.0,58.0,7.3,124,95.0,2017-06-01,2017-06
Tokyo,June,2017,63,Medium,53.0,116.0,8.44,54,93.0,2017-06-01,2017-06
London,June,2017,70,Low,20.0,126.0,6.32,117,85.0,2017-06-01,2017-06
Vienna,June,2017,81,Medium,10.0,49.0,8.36,109,87.0,2017-06-01,2017-06
San Francisco,June,2017,69,Low,78.0,49.0,9.32,65,67.0,2017-06-01,2017-06
Lisbon,June,2017,52,Medium,58.0,46.0,8.88,77,67.0,2017-06-01,2017-06
New York,June,2017,71,High,29.0,44.0,8.75,69,80.0,2017-06-01,2017-06
Helsinki,June,2017,51,Medium,15.0,32.0,7.97,103,77.0,2017-06-01,2017-06
Zurich,June,2017,112,Very High,48.0,33.0,8.33,77,71.0,2017-06-01,2017-06
Barcelona,June,2017,74,Very High,80.0,101.0,8.76,101,71.0,2017-06-01,2017-06
Melbourne,June,2017,72,Low,26.0,122.0,7.56,89,76.0,2017-06-01,2017-06
Oslo,June,2017,50,Low,28.0,103.0,6.83,91,88.0,2017-06-01,2017-06
Helsinki,July,2017,52,Medium,48.0,88.0,7.13,129,74.0,2017-07-01,2017-07
San Francisco,July,2017,52,Low,21.0,102.0,6.69,124,99.0,2017-07-01,2017-07
Stockholm,July,2017,45,Very High,40.0,71.0,8.24,126,67.0,2017-07-01,2017-07
Sydney,July,2017,58,Medium,71.0,77.0,8.62,118,85.0,2017-07-01,2017-07
London,July,2017,46,Low,39.0,112.0,7.14,78,62.0,2017-07-01,2017-07
New York,July,2017,56,Medium,62.0,109.0,7.2,98,76.0,2017-07-01,2017-07
Toronto,July,2017,81,Medium,77.0,65.0,9.52,80,89.0,2017-07-01,2017-07
